iteracion,mejor_makespan
1,1400
2,1392
3,1390
4,1390
5,1384
6,1384
7,1372
8,1371
9,1365
10,1357
11,1357
12,1346
13,1346
14,1346
15,1346
16,1341
17,1341
18,1341
19,1341
20,1341
21,1341
22,1341
23,1341
24,1341
25,1341
26,1341
27,1341
28,1341
29,1341
30,1341
31,1341
32,1341
33,1341
34,1341
35,1341
36,1341
37,1341
38,1341
39,1341
40,1341
41,1341
42,1341
43,1341
44,1341
45,1341
46,1341
47,1341
48,1341
49,1341
50,1341
51,1341
52,1341
53,1341
54,1341
55,1341
56,1341
57,1341
58,1341
59,1341
60,1341
61,1341
62,1341
63,1341
64,1341
65,1341
66,1341
67,1341
68,1341
69,1341
70,1341
71,1341
72,1341
73,1341
74,1341
75,1341
76,1341
77,1341
78,1341
79,1341
80,1341
81,1341
82,1341
83,1341
84,1341
85,1341
86,1341
87,1341
88,1341
89,1341
90,1341
91,1341
92,1341
93,1341
94,1341
95,1341
96,1341
97,1341
98,1341
99,1341
100,1341
101,1341
102,1341
103,1341
104,1341
105,1341
106,1341
107,1341
108,1341
109,1341
110,1341
111,1341
112,1341
113,1341
114,1341
115,1341
116,1341
117,1341
118,1341
119,1341
120,1341
121,1341
122,1341
123,1341
124,1341
125,1341
126,1341
127,1341
128,1341
129,1341
130,1341
131,1341
132,1341
133,1341
134,1341
135,1341
136,1341
137,1341
138,1341
139,1341
140,1341
141,1341
142,1341
143,1341
144,1341
145,1341
146,1341
147,1326
148,1326
149,1326
150,1326
151,1326
152,1326
153,1326
154,1326
155,1315
156,1315
157,1315
158,1315
159,1315
160,1315
161,1315
162,1315
163,1315
164,1315
165,1315
166,1315
167,1315
168,1315
169,1315
170,1315
171,1310
172,1310
173,1307
174,1307
175,1302
176,1293
177,1293
178,1289
179,1289
180,1289
181,1289
182,1285
183,1285
184,1285
185,1285
186,1285
187,1285
188,1285
189,1285
190,1285
191,1285
192,1285
193,1285
194,1285
195,1283
196,1283
197,1283
198,1283
199,1283
200,1283
201,1283
202,1283
203,1283
204,1283
205,1283
206,1283
207,1283
208,1273
209,1273
210,1272
211,1272
212,1272
213,1272
214,1266
215,1266
216,1266
217,1266
218,1266
219,1266
220,1249
221,1249
222,1249
223,1249
224,1249
225,1249
226,1249
227,1249
228,1249
229,1249
230,1249
231,1249
232,1249
233,1249
234,1249
235,1249
236,1249
237,1249
238,1249
239,1249
240,1249
241,1249
242,1249
243,1249
244,1249
245,1249
246,1249
247,1249
248,1249
249,1249
250,1249
251,1249
252,1249
253,1249
254,1249
255,1249
256,1249
257,1249
258,1249
259,1249
260,1249
261,1249
262,1249
263,1249
264,1249
265,1249
266,1249
267,1249
268,1249
269,1249
270,1249
271,1249
272,1249
273,1249
274,1249
275,1249
276,1249
277,1249
278,1249
279,1249
280,1249
281,1249
282,1249
283,1249
284,1249
285,1249
286,1249
287,1249
288,1249
289,1249
290,1249
291,1249
292,1249
293,1249
294,1249
295,1249
296,1249
297,1249
298,1249
299,1249
300,1249
301,1249
302,1249
303,1249
304,1249
305,1249
306,1249
307,1249
308,1249
309,1249
310,1249
311,1249
312,1249
313,1249
314,1249
315,1249
316,1249
317,1249
318,1249
319,1249
320,1249
321,1249
322,1249
323,1249
324,1249
325,1249
326,1249
327,1249
328,1249
329,1249
330,1249
331,1249
332,1249
333,1249
334,1249
335,1249
336,1249
337,1249
338,1249
339,1249
340,1249
341,1249
342,1249
343,1249
344,1249
345,1249
346,1249
347,1249
348,1249
349,1249
350,1249
351,1249
352,1249
353,1249
354,1249
355,1249
356,1249
357,1249
358,1249
359,1249
360,1249
361,1249
362,1249
363,1249
364,1249
365,1249
366,1249
367,1249
368,1249
369,1249
370,1249
371,1249
372,1249
373,1249
374,1249
375,1249
376,1249
377,1249
378,1249
379,1249
380,1249
381,1249
382,1249
383,1249
384,1249
385,1249
386,1249
387,1249
388,1249
389,1249
390,1249
391,1249
392,1249
393,1249
394,1249
395,1249
396,1249
397,1249
398,1249
399,1249
400,1249
401,1249
402,1249
403,1249
404,1249
405,1249
406,1249
407,1249
408,1249
409,1249
410,1249
411,1249
412,1249
413,1249
414,1249
415,1249
416,1249
417,1249
418,1249
419,1249
420,1249
421,1249
422,1249
423,1249
424,1249
425,1249
426,1249
427,1249
428,1249
429,1249
430,1249
431,1249
432,1249
433,1249
434,1249
435,1249
436,1249
437,1249
438,1249
439,1249
440,1249
441,1249
442,1249
443,1249
444,1249
445,1249
446,1249
447,1249
448,1249
449,1249
450,1249
451,1249
452,1249
453,1249
454,1249
455,1249
456,1249
457,1249
458,1249
459,1249
460,1249
461,1249
462,1249
463,1249
464,1249
465,1249
466,1249
467,1249
468,1249
469,1249
470,1249
471,1249
472,1249
473,1249
474,1249
475,1249
476,1249
477,1249
478,1249
479,1249
480,1249
481,1249
482,1249
483,1249
484,1249
485,1249
486,1249
487,1249
488,1249
489,1249
490,1249
491,1249
492,1249
493,1249
494,1249
495,1249
496,1249
497,1249
498,1249
499,1249
500,1249
