trabajo,maquina,inicio,fin
5,1,0,255
5,2,255,732
5,3,732,855
5,4,855,1398
5,5,1398,1541
5,6,1541,1683
4,1,255,477
4,2,732,936
4,3,936,1050
4,4,1398,2274
4,5,2274,3026
4,6,3026,3558
2,1,477,810
2,2,936,1047
2,3,1050,1713
2,4,2274,2730
2,5,3026,3811
2,6,3811,4343
1,1,810,1143
1,2,1143,2134
1,3,2134,3130
1,4,3130,3253
1,5,3811,3956
1,6,4343,4577
3,1,1143,1395
3,2,2134,2356
3,3,3130,3352
3,4,3352,4141
3,5,4141,4355
3,6,4577,5163
8,1,1395,2283
8,2,2356,3321
8,3,3352,4228
8,4,4228,4765
8,5,4765,4910
8,6,5163,5177
6,1,2283,2838
6,2,3321,3887
6,3,4228,4684
6,4,4765,4975
6,5,4975,5673
6,6,5673,6246
10,1,2838,3837
10,2,3887,4776
10,3,4776,4986
10,4,4986,5618
10,5,5673,6124
10,6,6246,7102
9,1,3837,4726
9,2,4776,5364
9,3,5364,5907
9,4,5907,6761
9,5,6761,7008
9,6,7102,7629
7,1,4726,5284
7,2,5364,6263
7,3,6263,7052
7,4,7052,7176
7,5,7176,7708
7,6,7708,7720
