ejecucion,semilla,makespan,tiempo_ms,secuencia
1,42,1255,6.95,"[J6, J9, J17, J15, J2, J18, J14, J12, J13, J8, J11, J5, J20, J4, J1, J7, J3, J10, J19, J16]"
2,43,1249,4.26,"[J6, J9, J17, J15, J18, J12, J2, J20, J14, J11, J7, J3, J13, J4, J1, J5, J10, J8, J16, J19]"
3,44,1319,4.41,"[J9, J12, J15, J8, J18, J17, J13, J14, J2, J20, J4, J6, J11, J7, J1, J16, J3, J10, J19, J5]"
4,45,1326,4.20,"[J1, J9, J2, J20, J15, J12, J4, J11, J5, J14, J17, J13, J18, J19, J16, J3, J6, J7, J8, J10]"
5,46,1251,4.08,"[J6, J9, J17, J1, J7, J14, J13, J4, J11, J20, J2, J15, J3, J16, J12, J18, J8, J5, J10, J19]"
6,47,1249,4.14,"[J6, J9, J17, J15, J12, J18, J14, J4, J11, J13, J2, J1, J20, J7, J16, J3, J8, J5, J10, J19]"
7,48,1289,4.23,"[J6, J2, J17, J9, J8, J11, J7, J14, J15, J13, J18, J4, J1, J20, J12, J5, J10, J3, J19, J16]"
8,49,1249,3.85,"[J6, J9, J17, J15, J20, J7, J3, J2, J1, J18, J4, J13, J11, J5, J14, J12, J10, J8, J16, J19]"
9,50,1251,4.04,"[J6, J9, J17, J15, J13, J14, J11, J20, J4, J1, J18, J2, J3, J12, J7, J8, J5, J10, J19, J16]"
10,51,1390,3.87,"[J11, J15, J9, J20, J2, J18, J17, J6, J14, J12, J13, J7, J10, J3, J16, J5, J8, J19, J4, J1]"
