iteracion,mejor_makespan
1,7942
2,7942
3,7720
4,7720
5,7720
6,7720
7,7720
8,7720
9,7720
10,7720
11,7720
12,7720
13,7720
14,7720
15,7720
16,7720
17,7720
18,7720
19,7720
20,7720
21,7720
22,7720
23,7720
24,7720
25,7720
26,7720
27,7720
28,7720
29,7720
30,7720
31,7720
32,7720
33,7720
34,7720
35,7720
36,7720
37,7720
38,7720
39,7720
40,7720
41,7720
42,7720
43,7720
44,7720
45,7720
46,7720
47,7720
48,7720
49,7720
50,7720
51,7720
52,7720
53,7720
54,7720
55,7720
56,7720
57,7720
58,7720
59,7720
60,7720
61,7720
62,7720
63,7720
64,7720
65,7720
66,7720
67,7720
68,7720
69,7720
70,7720
71,7720
72,7720
73,7720
74,7720
75,7720
76,7720
77,7720
78,7720
79,7720
80,7720
81,7720
82,7720
83,7720
84,7720
85,7720
86,7720
87,7720
88,7720
89,7720
90,7720
91,7720
92,7720
93,7720
94,7720
95,7720
96,7720
97,7720
98,7720
99,7720
100,7720
101,7720
102,7720
103,7720
104,7720
105,7720
106,7720
107,7720
108,7720
109,7720
110,7720
111,7720
112,7720
113,7720
114,7720
115,7720
116,7720
117,7720
118,7720
119,7720
120,7720
121,7720
122,7720
123,7720
124,7720
125,7720
126,7720
127,7720
128,7720
129,7720
130,7720
131,7720
132,7720
133,7720
134,7720
135,7720
136,7720
137,7720
138,7720
139,7720
140,7720
141,7720
142,7720
143,7720
144,7720
145,7720
146,7720
147,7720
148,7720
149,7720
150,7720
151,7720
152,7720
153,7720
154,7720
155,7720
156,7720
157,7720
158,7720
159,7720
160,7720
161,7720
162,7720
163,7720
164,7720
165,7720
166,7720
167,7720
168,7720
169,7720
170,7720
171,7720
172,7720
173,7720
174,7720
175,7720
176,7720
177,7720
178,7720
179,7720
180,7720
181,7720
182,7720
183,7720
184,7720
185,7720
186,7720
187,7720
188,7720
189,7720
190,7720
191,7720
192,7720
193,7720
194,7720
195,7720
196,7720
197,7720
198,7720
199,7720
200,7720
201,7720
202,7720
203,7720
204,7720
205,7720
206,7720
207,7720
208,7720
209,7720
210,7720
211,7720
212,7720
213,7720
214,7720
215,7720
216,7720
217,7720
218,7720
219,7720
220,7720
221,7720
222,7720
223,7720
224,7720
225,7720
226,7720
227,7720
228,7720
229,7720
230,7720
231,7720
232,7720
233,7720
234,7720
235,7720
236,7720
237,7720
238,7720
239,7720
240,7720
241,7720
242,7720
243,7720
244,7720
245,7720
246,7720
247,7720
248,7720
249,7720
250,7720
251,7720
252,7720
253,7720
254,7720
255,7720
256,7720
257,7720
258,7720
259,7720
260,7720
261,7720
262,7720
263,7720
264,7720
265,7720
266,7720
267,7720
268,7720
269,7720
270,7720
271,7720
272,7720
273,7720
274,7720
275,7720
276,7720
277,7720
278,7720
279,7720
280,7720
281,7720
282,7720
283,7720
284,7720
285,7720
286,7720
287,7720
288,7720
289,7720
290,7720
291,7720
292,7720
293,7720
294,7720
295,7720
296,7720
297,7720
298,7720
299,7720
300,7720
