trabajo,maquina,inicio,fin
4,1,0,222
4,2,222,426
4,3,426,540
4,4,540,1416
4,5,1416,2168
4,6,2168,2700
5,1,222,477
5,2,477,954
5,3,954,1077
5,4,1416,1959
5,5,2168,2311
5,6,2700,2842
2,1,477,810
2,2,954,1065
2,3,1077,1740
2,4,1959,2415
2,5,2415,3200
2,6,3200,3732
1,1,810,1143
1,2,1143,2134
1,3,2134,3130
1,4,3130,3253
1,5,3253,3398
1,6,3732,3966
3,1,1143,1395
3,2,2134,2356
3,3,3130,3352
3,4,3352,4141
3,5,4141,4355
3,6,4355,4941
8,1,1395,2283
8,2,2356,3321
8,3,3352,4228
8,4,4228,4765
8,5,4765,4910
8,6,4941,4955
6,1,2283,2838
6,2,3321,3887
6,3,4228,4684
6,4,4765,4975
6,5,4975,5673
6,6,5673,6246
10,1,2838,3837
10,2,3887,4776
10,3,4776,4986
10,4,4986,5618
10,5,5673,6124
10,6,6246,7102
9,1,3837,4726
9,2,4776,5364
9,3,5364,5907
9,4,5907,6761
9,5,6761,7008
9,6,7102,7629
7,1,4726,5284
7,2,5364,6263
7,3,6263,7052
7,4,7052,7176
7,5,7176,7708
7,6,7708,7720
