trabajo,maquina,inicio,fin
6,1,0,1
6,2,1,43
6,3,43,63
6,4,63,153
6,5,153,176
9,1,1,12
9,2,43,106
9,3,106,130
9,4,153,169
9,5,176,265
17,1,12,91
17,2,106,128
17,3,130,207
17,4,207,281
17,5,281,376
15,1,91,126
15,2,128,185
15,3,207,285
15,4,285,384
15,5,384,464
18,1,126,160
18,2,185,284
18,3,285,334
18,4,384,387
18,5,464,525
14,1,160,239
14,2,284,332
14,3,334,354
14,4,387,450
14,5,525,622
2,1,239,313
2,2,332,353
2,3,354,437
2,4,450,502
2,5,622,712
12,1,313,363
12,2,363,405
12,3,437,509
12,4,509,586
12,5,712,741
20,1,363,413
20,2,413,501
20,3,509,555
20,4,586,649
20,5,741,817
11,1,413,438
11,2,501,560
11,3,560,648
11,4,649,736
11,5,817,857
4,1,438,535
4,2,560,596
4,3,648,719
4,4,736,804
4,5,857,938
3,1,535,602
3,2,602,650
3,3,719,725
3,4,804,870
3,5,938,976
13,1,602,660
13,2,660,736
13,3,736,807
13,4,870,952
13,5,976,1070
7,1,660,729
7,2,736,768
7,3,807,906
7,4,952,978
7,5,1070,1127
1,1,729,734
1,2,768,844
1,3,906,980
1,4,980,1079
1,5,1127,1153
5,1,734,821
5,2,844,930
5,3,980,1044
5,4,1079,1090
5,5,1153,1184
8,1,821,890
8,2,930,942
8,3,1044,1098
8,4,1098,1178
8,5,1184,1200
10,1,890,977
10,2,977,1029
10,3,1098,1141
10,4,1178,1188
10,5,1200,1226
19,1,977,1014
19,2,1029,1053
19,3,1141,1173
19,4,1188,1223
19,5,1226,1230
16,1,1014,1084
16,2,1084,1160
16,3,1173,1226
16,4,1226,1228
16,5,1230,1249
