ejecucion,semilla,makespan,tiempo_ms,secuencia
1,42,7821,2.92,"[J5, J6, J2, J1, J10, J4, J3, J7, J9, J8]"
2,43,7822,3.04,"[J4, J5, J1, J6, J3, J2, J9, J7, J10, J8]"
3,44,7821,2.93,"[J5, J3, J1, J6, J10, J2, J4, J7, J9, J8]"
4,45,7843,2.91,"[J4, J1, J10, J9, J6, J5, J2, J7, J3, J8]"
5,46,7720,2.92,"[J4, J5, J2, J1, J3, J8, J6, J10, J9, J7]"
6,47,8076,2.95,"[J1, J3, J6, J2, J4, J10, J9, J8, J7, J5]"
7,48,7868,3.54,"[J4, J3, J5, J7, J2, J6, J1, J10, J9, J8]"
8,49,8047,3.21,"[J3, J1, J2, J6, J10, J9, J4, J5, J8, J7]"
9,50,7821,3.27,"[J4, J5, J1, J6, J10, J2, J3, J7, J9, J8]"
10,51,7821,3.04,"[J4, J5, J1, J10, J6, J2, J3, J7, J9, J8]"
