ejecucion,semilla,makespan,tiempo_ms,secuencia
1,42,1249,4.53,"[J6, J9, J17, J15, J18, J14, J2, J12, J20, J11, J4, J3, J13, J7, J1, J5, J8, J10, J19, J16]"
2,43,1352,4.35,"[J1, J2, J6, J18, J14, J7, J13, J3, J11, J10, J8, J9, J15, J5, J17, J20, J12, J4, J19, J16]"
3,44,1251,4.19,"[J6, J9, J17, J15, J13, J4, J1, J7, J20, J2, J18, J3, J14, J11, J16, J8, J12, J5, J10, J19]"
4,45,1249,4.61,"[J6, J9, J17, J15, J4, J13, J2, J1, J7, J3, J18, J14, J11, J8, J5, J20, J12, J16, J19, J10]"
5,46,1249,3.97,"[J6, J9, J17, J15, J20, J4, J13, J14, J2, J1, J10, J11, J12, J7, J18, J3, J8, J5, J19, J16]"
6,47,1268,4.03,"[J6, J9, J2, J13, J1, J7, J14, J20, J15, J17, J11, J4, J12, J18, J8, J10, J16, J3, J5, J19]"
7,48,1276,4.11,"[J6, J9, J17, J11, J14, J15, J2, J12, J7, J3, J19, J18, J13, J20, J4, J1, J16, J8, J10, J5]"
8,49,1249,4.05,"[J6, J9, J17, J15, J20, J14, J2, J1, J13, J4, J11, J5, J7, J3, J12, J18, J8, J16, J19, J10]"
9,50,1326,4.03,"[J1, J9, J2, J15, J4, J20, J18, J3, J17, J14, J11, J13, J6, J8, J16, J7, J5, J10, J12, J19]"
10,51,1326,3.97,"[J6, J11, J9, J4, J15, J8, J18, J13, J3, J17, J5, J7, J20, J19, J14, J1, J10, J2, J12, J16]"
