iteracion,mejor_makespan
1,1403
2,1353
3,1335
4,1330
5,1315
6,1315
7,1315
8,1315
9,1314
10,1298
11,1298
12,1298
13,1286
14,1286
15,1286
16,1286
17,1286
18,1286
19,1286
20,1286
21,1286
22,1286
23,1283
24,1283
25,1283
26,1283
27,1283
28,1283
29,1280
30,1280
31,1280
32,1280
33,1280
34,1280
35,1280
36,1280
37,1280
38,1280
39,1280
40,1280
41,1280
42,1280
43,1280
44,1280
45,1280
46,1280
47,1280
48,1280
49,1280
50,1280
51,1280
52,1280
53,1280
54,1280
55,1280
56,1280
57,1280
58,1280
59,1280
60,1280
61,1265
62,1265
63,1265
64,1265
65,1265
66,1265
67,1265
68,1264
69,1264
70,1264
71,1264
72,1264
73,1264
74,1264
75,1264
76,1264
77,1264
78,1264
79,1264
80,1264
81,1264
82,1264
83,1264
84,1264
85,1264
86,1264
87,1264
88,1264
89,1264
90,1264
91,1264
92,1264
93,1264
94,1264
95,1264
96,1264
97,1264
98,1264
99,1264
100,1264
101,1264
102,1264
103,1264
104,1264
105,1264
106,1264
107,1264
108,1264
109,1264
110,1264
111,1264
112,1264
113,1264
114,1264
115,1264
116,1264
117,1264
118,1264
119,1264
120,1264
121,1264
122,1264
123,1264
124,1264
125,1264
126,1264
127,1264
128,1264
129,1264
130,1264
131,1264
132,1264
133,1264
134,1264
135,1264
136,1264
137,1264
138,1264
139,1264
140,1264
141,1256
142,1256
143,1256
144,1256
145,1256
146,1256
147,1256
148,1256
149,1256
150,1256
151,1256
152,1256
153,1256
154,1256
155,1256
156,1256
157,1256
158,1256
159,1256
160,1256
161,1256
162,1256
163,1256
164,1256
165,1256
166,1256
167,1256
168,1256
169,1256
170,1256
171,1256
172,1256
173,1256
174,1256
175,1256
176,1256
177,1256
178,1256
179,1256
180,1256
181,1256
182,1256
183,1256
184,1256
185,1256
186,1256
187,1256
188,1256
189,1256
190,1256
191,1256
192,1256
193,1256
194,1256
195,1256
196,1256
197,1256
198,1256
199,1256
200,1256
201,1256
202,1256
203,1256
204,1256
205,1256
206,1256
207,1256
208,1256
209,1256
210,1256
211,1256
212,1256
213,1256
214,1256
215,1256
216,1256
217,1256
218,1256
219,1256
220,1256
221,1256
222,1256
223,1256
224,1256
225,1256
226,1256
227,1256
228,1256
229,1256
230,1256
231,1256
232,1256
233,1256
234,1256
235,1256
236,1256
237,1256
238,1256
239,1256
240,1256
241,1256
242,1256
243,1256
244,1256
245,1256
246,1256
247,1256
248,1256
249,1256
250,1256
251,1256
252,1256
253,1256
254,1256
