trabajo,maquina,inicio,fin
6,1,0,1
6,2,1,43
6,3,43,63
6,4,63,153
6,5,153,176
9,1,1,12
9,2,43,106
9,3,106,130
9,4,153,169
9,5,176,265
2,1,12,86
2,2,106,127
2,3,130,213
2,4,213,265
2,5,265,355
13,1,86,144
13,2,144,220
13,3,220,291
13,4,291,373
13,5,373,467
15,1,144,179
15,2,220,277
15,3,291,369
15,4,373,472
15,5,472,552
7,1,179,248
7,2,277,309
7,3,369,468
7,4,472,498
7,5,552,609
3,1,248,315
3,2,315,363
3,3,468,474
3,4,498,564
3,5,609,647
20,1,315,365
20,2,365,453
20,3,474,520
20,4,564,627
20,5,647,723
17,1,365,444
17,2,453,475
17,3,520,597
17,4,627,701
17,5,723,818
1,1,444,449
1,2,475,551
1,3,597,671
1,4,701,800
1,5,818,844
10,1,449,536
10,2,551,603
10,3,671,714
10,4,800,810
10,5,844,870
14,1,536,615
14,2,615,663
14,3,714,734
14,4,810,873
14,5,873,970
11,1,615,640
11,2,663,722
11,3,734,822
11,4,873,960
11,5,970,1010
5,1,640,727
5,2,727,813
5,3,822,886
5,4,960,971
5,5,1010,1041
4,1,727,824
4,2,824,860
4,3,886,957
4,4,971,1039
4,5,1041,1122
12,1,824,874
12,2,874,916
12,3,957,1029
12,4,1039,1116
12,5,1122,1151
18,1,874,908
18,2,916,1015
18,3,1029,1078
18,4,1116,1119
18,5,1151,1212
8,1,908,977
8,2,1015,1027
8,3,1078,1132
8,4,1132,1212
8,5,1212,1228
16,1,977,1047
16,2,1047,1123
16,3,1132,1185
16,4,1212,1214
16,5,1228,1247
19,1,1047,1084
19,2,1123,1147
19,3,1185,1217
19,4,1217,1252
19,5,1252,1256
