ejecucion,semilla,makespan,tiempo_ms,secuencia
1,42,1363,3.84,"[J1, J20, J17, J19, J9, J6, J10, J2, J18, J8, J13, J14, J12, J15, J11, J16, J7, J3, J4, J5]"
2,43,1261,3.87,"[J9, J6, J2, J13, J17, J15, J1, J18, J14, J8, J20, J4, J7, J11, J5, J10, J3, J12, J16, J19]"
3,44,1267,4.01,"[J6, J9, J2, J15, J13, J17, J12, J20, J5, J18, J14, J8, J11, J4, J1, J7, J10, J3, J16, J19]"
4,45,1326,3.81,"[J1, J9, J2, J14, J13, J17, J11, J15, J20, J6, J7, J16, J8, J18, J4, J3, J19, J5, J12, J10]"
5,46,1326,3.79,"[J1, J9, J2, J14, J11, J17, J13, J16, J15, J8, J5, J18, J6, J4, J3, J7, J20, J10, J12, J19]"
6,47,1268,4.16,"[J6, J9, J17, J1, J7, J3, J2, J20, J13, J15, J4, J14, J11, J8, J18, J12, J5, J16, J10, J19]"
7,48,1261,4.69,"[J6, J9, J7, J14, J17, J15, J13, J11, J20, J2, J1, J18, J4, J5, J3, J12, J10, J8, J16, J19]"
8,49,1256,3.72,"[J6, J9, J2, J13, J15, J7, J3, J20, J17, J1, J10, J14, J11, J5, J4, J12, J18, J8, J16, J19]"
9,50,1271,3.77,"[J6, J9, J17, J1, J2, J20, J15, J13, J5, J14, J4, J11, J7, J8, J18, J16, J3, J12, J10, J19]"
10,51,1333,3.91,"[J6, J20, J2, J15, J13, J8, J18, J12, J5, J14, J17, J9, J1, J11, J4, J10, J19, J7, J3, J16]"
