iteracion,mejor_makespan
1,1421
2,1416
3,1388
4,1381
5,1381
6,1376
7,1376
8,1357
9,1354
10,1354
11,1328
12,1328
13,1328
14,1319
15,1319
16,1319
17,1311
18,1311
19,1311
20,1309
21,1309
22,1309
23,1309
24,1309
25,1300
26,1300
27,1300
28,1300
29,1300
30,1300
31,1300
32,1300
33,1300
34,1300
35,1300
36,1300
37,1300
38,1300
39,1300
40,1300
41,1300
42,1300
43,1300
44,1300
45,1300
46,1300
47,1300
48,1300
49,1300
50,1300
51,1300
52,1300
53,1300
54,1280
55,1280
56,1280
57,1280
58,1280
59,1280
60,1280
61,1280
62,1280
63,1280
64,1280
65,1280
66,1280
67,1280
68,1280
69,1280
70,1280
71,1280
72,1280
73,1280
74,1280
75,1280
76,1280
77,1280
78,1280
79,1280
80,1280
81,1280
82,1280
83,1264
84,1264
85,1264
86,1264
87,1264
88,1264
89,1264
90,1264
91,1264
92,1264
93,1264
94,1264
95,1264
96,1264
97,1264
98,1264
99,1264
100,1264
101,1264
102,1264
103,1264
104,1264
105,1264
106,1264
107,1264
108,1264
109,1264
110,1264
111,1264
112,1264
113,1264
114,1264
115,1264
116,1264
117,1264
118,1264
119,1264
120,1264
121,1264
122,1264
123,1264
124,1264
125,1264
126,1264
127,1264
128,1264
129,1264
130,1264
131,1264
132,1264
133,1264
134,1264
135,1264
136,1264
137,1264
138,1264
139,1264
140,1264
141,1264
142,1264
143,1264
144,1264
145,1264
146,1264
147,1264
148,1264
149,1264
150,1264
151,1264
152,1264
153,1264
154,1264
155,1264
156,1264
157,1264
158,1264
159,1264
160,1264
161,1264
162,1264
163,1264
164,1264
165,1264
166,1264
167,1264
168,1264
169,1264
170,1264
171,1264
172,1264
173,1264
174,1264
175,1264
176,1264
177,1264
178,1264
179,1264
180,1264
181,1264
182,1264
183,1264
184,1264
185,1264
186,1264
187,1264
188,1264
189,1264
190,1264
191,1264
192,1264
193,1264
194,1264
195,1264
196,1264
197,1264
198,1264
199,1264
200,1264
201,1264
202,1264
203,1264
204,1264
205,1264
206,1264
207,1264
208,1264
209,1264
210,1264
211,1264
212,1264
213,1264
214,1264
215,1264
216,1264
217,1264
218,1264
219,1264
220,1264
221,1264
222,1264
223,1264
224,1264
225,1264
226,1264
227,1260
228,1260
229,1260
230,1260
231,1260
232,1260
233,1260
234,1260
235,1260
236,1260
237,1260
238,1260
239,1260
240,1260
241,1260
242,1260
243,1260
244,1260
245,1260
246,1260
247,1260
248,1260
249,1260
250,1260
251,1260
252,1260
253,1260
254,1260
255,1260
256,1260
257,1260
258,1260
259,1260
260,1260
261,1260
262,1260
263,1260
264,1260
265,1260
266,1260
267,1260
268,1260
269,1260
270,1260
271,1260
272,1260
273,1260
274,1260
275,1260
276,1260
277,1260
278,1260
279,1260
280,1260
281,1260
282,1260
283,1260
284,1260
285,1260
286,1260
287,1260
288,1260
289,1260
290,1260
291,1260
292,1260
293,1260
294,1260
295,1260
296,1260
297,1260
298,1260
299,1260
300,1260
301,1260
302,1260
303,1260
304,1260
305,1260
306,1260
307,1260
308,1260
309,1260
310,1260
311,1253
312,1253
313,1253
314,1253
315,1253
316,1253
317,1253
318,1253
319,1253
320,1253
321,1253
322,1253
323,1253
324,1253
325,1253
326,1253
327,1253
328,1253
329,1253
330,1253
331,1253
332,1253
333,1253
334,1253
335,1253
336,1253
337,1253
338,1253
339,1253
340,1253
341,1253
342,1253
343,1253
344,1253
345,1253
346,1253
347,1253
348,1253
349,1253
350,1253
351,1253
352,1253
353,1253
354,1249
355,1249
356,1249
357,1249
358,1249
359,1249
360,1249
361,1249
362,1249
363,1249
364,1249
365,1249
366,1249
367,1249
368,1249
369,1249
370,1249
371,1249
372,1249
373,1249
374,1249
375,1249
376,1249
377,1249
378,1249
379,1249
380,1249
381,1249
382,1249
383,1249
384,1249
385,1249
386,1249
387,1249
388,1249
389,1249
390,1249
391,1249
392,1249
393,1249
394,1249
395,1249
396,1249
397,1249
398,1249
399,1249
400,1249
401,1249
402,1249
403,1249
404,1249
405,1249
406,1249
407,1249
408,1249
409,1249
410,1249
411,1249
412,1249
413,1249
414,1249
415,1249
416,1249
417,1249
418,1249
419,1249
420,1249
421,1249
422,1249
423,1249
424,1249
425,1249
426,1249
427,1249
428,1249
429,1249
430,1249
431,1249
432,1249
433,1249
434,1249
435,1249
436,1249
437,1249
438,1249
439,1249
440,1249
441,1249
442,1249
443,1249
444,1249
445,1249
446,1249
447,1249
448,1249
449,1249
450,1249
451,1249
452,1249
453,1249
454,1249
455,1249
456,1249
457,1249
458,1249
459,1249
460,1249
461,1249
462,1249
463,1249
464,1249
465,1249
466,1249
467,1249
468,1249
469,1249
470,1249
471,1249
472,1249
473,1249
474,1249
475,1249
476,1249
477,1249
478,1249
479,1249
480,1249
481,1249
482,1249
483,1249
484,1249
485,1249
486,1249
487,1249
488,1249
489,1249
490,1249
491,1249
492,1249
493,1249
494,1249
495,1249
496,1249
497,1249
498,1249
499,1249
500,1249
