trabajo,maquina,inicio,fin
6,1,0,1
6,2,1,43
6,3,43,63
6,4,63,153
6,5,153,176
9,1,1,12
9,2,43,106
9,3,106,130
9,4,153,169
9,5,176,265
17,1,12,91
17,2,106,128
17,3,130,207
17,4,207,281
17,5,281,376
15,1,91,126
15,2,128,185
15,3,207,285
15,4,285,384
15,5,384,464
2,1,126,200
2,2,200,221
2,3,285,368
2,4,384,436
2,5,464,554
20,1,200,250
20,2,250,338
20,3,368,414
20,4,436,499
20,5,554,630
13,1,250,308
13,2,338,414
13,3,414,485
13,4,499,581
13,5,630,724
11,1,308,333
11,2,414,473
11,3,485,573
11,4,581,668
11,5,724,764
4,1,333,430
4,2,473,509
4,3,573,644
4,4,668,736
4,5,764,845
1,1,430,435
1,2,509,585
1,3,644,718
1,4,736,835
1,5,845,871
18,1,435,469
18,2,585,684
18,3,718,767
18,4,835,838
18,5,871,932
3,1,469,536
3,2,684,732
3,3,767,773
3,4,838,904
3,5,932,970
7,1,536,605
7,2,732,764
7,3,773,872
7,4,904,930
7,5,970,1027
5,1,605,692
5,2,764,850
5,3,872,936
5,4,936,947
5,5,1027,1058
14,1,692,771
14,2,850,898
14,3,936,956
14,4,956,1019
14,5,1058,1155
12,1,771,821
12,2,898,940
12,3,956,1028
12,4,1028,1105
12,5,1155,1184
10,1,821,908
10,2,940,992
10,3,1028,1071
10,4,1105,1115
10,5,1184,1210
8,1,908,977
8,2,992,1004
8,3,1071,1125
8,4,1125,1205
8,5,1210,1226
16,1,977,1047
16,2,1047,1123
16,3,1125,1178
16,4,1205,1207
16,5,1226,1245
19,1,1047,1084
19,2,1123,1147
19,3,1178,1210
19,4,1210,1245
19,5,1245,1249
