iteracion,mejor_makespan
1,1436
2,1386
3,1359
4,1322
5,1283
6,1276
7,1276
8,1265
9,1265
10,1265
11,1265
12,1265
13,1265
14,1265
15,1265
16,1265
17,1250
18,1249
19,1249
20,1249
21,1249
22,1249
23,1249
24,1249
25,1249
26,1249
27,1249
28,1249
29,1249
30,1249
31,1249
32,1249
33,1249
34,1249
35,1249
36,1249
37,1249
38,1249
39,1249
40,1249
41,1249
42,1249
43,1249
44,1249
45,1249
46,1249
47,1249
48,1249
49,1249
50,1249
51,1249
52,1249
53,1249
54,1249
55,1249
56,1249
57,1249
58,1249
59,1249
60,1249
61,1249
62,1249
63,1249
64,1249
65,1249
66,1249
67,1249
68,1249
69,1249
70,1249
71,1249
72,1249
73,1249
74,1249
75,1249
76,1249
77,1249
78,1249
79,1249
80,1249
81,1249
82,1249
83,1249
84,1249
85,1249
86,1249
87,1249
88,1249
89,1249
90,1249
91,1249
92,1249
93,1249
94,1249
95,1249
96,1249
97,1249
98,1249
99,1249
100,1249
101,1249
102,1249
103,1249
104,1249
105,1249
106,1249
107,1249
108,1249
109,1249
110,1249
111,1249
112,1249
113,1249
114,1249
115,1249
116,1249
117,1249
118,1249
119,1249
120,1249
121,1249
122,1249
123,1249
124,1249
125,1249
126,1249
127,1249
128,1249
129,1249
130,1249
131,1249
132,1249
133,1249
134,1249
135,1249
136,1249
137,1249
138,1249
139,1249
140,1249
141,1249
142,1249
143,1249
144,1249
145,1249
146,1249
147,1249
148,1249
149,1249
150,1249
151,1249
152,1249
153,1249
154,1249
155,1249
156,1249
157,1249
158,1249
159,1249
160,1249
161,1249
162,1249
163,1249
164,1249
165,1249
166,1249
167,1249
168,1249
169,1249
170,1249
171,1249
172,1249
173,1249
174,1249
175,1249
176,1249
177,1249
178,1249
179,1249
180,1249
181,1249
182,1249
183,1249
184,1249
185,1249
186,1249
187,1249
188,1249
189,1249
190,1249
191,1249
192,1249
193,1249
194,1249
195,1249
196,1249
197,1249
198,1249
199,1249
200,1249
201,1249
202,1249
203,1249
204,1249
205,1249
206,1249
207,1249
208,1249
209,1249
210,1249
211,1249
212,1249
213,1249
214,1249
215,1249
216,1249
217,1249
218,1249
219,1249
220,1249
221,1249
222,1249
223,1249
224,1249
225,1249
226,1249
227,1249
228,1249
229,1249
230,1249
231,1249
232,1249
233,1249
234,1249
235,1249
236,1249
237,1249
238,1249
239,1249
240,1249
241,1249
242,1249
243,1249
244,1249
245,1249
246,1249
247,1249
248,1249
249,1249
250,1249
251,1249
252,1249
253,1249
254,1249
255,1249
256,1249
257,1249
258,1249
259,1249
260,1249
261,1249
262,1249
263,1249
264,1249
265,1249
266,1249
267,1249
268,1249
269,1249
270,1249
271,1249
272,1249
273,1249
274,1249
275,1249
276,1249
277,1249
278,1249
279,1249
280,1249
281,1249
282,1249
283,1249
284,1249
285,1249
286,1249
287,1249
288,1249
289,1249
290,1249
291,1249
292,1249
293,1249
294,1249
295,1249
296,1249
297,1249
298,1249
299,1249
300,1249
301,1249
302,1249
303,1249
304,1249
305,1249
306,1249
307,1249
308,1249
309,1249
310,1249
311,1249
312,1249
313,1249
314,1249
315,1249
316,1249
317,1249
318,1249
319,1249
320,1249
321,1249
322,1249
323,1249
324,1249
325,1249
326,1249
327,1249
328,1249
329,1249
330,1249
331,1249
332,1249
333,1249
334,1249
335,1249
336,1249
337,1249
338,1249
339,1249
340,1249
341,1249
342,1249
343,1249
344,1249
345,1249
346,1249
347,1249
348,1249
349,1249
350,1249
351,1249
352,1249
353,1249
354,1249
355,1249
356,1249
357,1249
358,1249
359,1249
360,1249
361,1249
362,1249
363,1249
364,1249
365,1249
366,1249
367,1249
368,1249
369,1249
370,1249
371,1249
372,1249
373,1249
374,1249
375,1249
376,1249
377,1249
378,1249
379,1249
380,1249
381,1249
382,1249
383,1249
384,1249
385,1249
386,1249
387,1249
388,1249
389,1249
390,1249
391,1249
392,1249
393,1249
394,1249
395,1249
396,1249
397,1249
398,1249
399,1249
400,1249
401,1249
402,1249
403,1249
404,1249
405,1249
406,1249
407,1249
408,1249
409,1249
410,1249
411,1249
412,1249
413,1249
414,1249
415,1249
416,1249
417,1249
418,1249
419,1249
420,1249
421,1249
422,1249
423,1249
424,1249
425,1249
426,1249
427,1249
428,1249
429,1249
430,1249
431,1249
432,1249
433,1249
434,1249
435,1249
436,1249
437,1249
438,1249
439,1249
440,1249
441,1249
442,1249
443,1249
444,1249
445,1249
446,1249
447,1249
448,1249
449,1249
450,1249
451,1249
452,1249
453,1249
454,1249
455,1249
456,1249
457,1249
458,1249
459,1249
460,1249
461,1249
462,1249
463,1249
464,1249
465,1249
466,1249
467,1249
468,1249
469,1249
470,1249
471,1249
472,1249
473,1249
474,1249
475,1249
476,1249
477,1249
478,1249
479,1249
480,1249
481,1249
482,1249
483,1249
484,1249
485,1249
486,1249
487,1249
488,1249
489,1249
490,1249
491,1249
492,1249
493,1249
494,1249
495,1249
496,1249
497,1249
498,1249
499,1249
500,1249
