trabajo,maquina,inicio,fin
6,1,0,1
6,2,1,43
6,3,43,63
6,4,63,153
6,5,153,176
9,1,1,12
9,2,43,106
9,3,106,130
9,4,153,169
9,5,176,265
17,1,12,91
17,2,106,128
17,3,130,207
17,4,207,281
17,5,281,376
15,1,91,126
15,2,128,185
15,3,207,285
15,4,285,384
15,5,384,464
20,1,126,176
20,2,185,273
20,3,285,331
20,4,384,447
20,5,464,540
2,1,176,250
2,2,273,294
2,3,331,414
2,4,447,499
2,5,540,630
13,1,250,308
13,2,308,384
13,3,414,485
13,4,499,581
13,5,630,724
14,1,308,387
14,2,387,435
14,3,485,505
14,4,581,644
14,5,724,821
12,1,387,437
12,2,437,479
12,3,505,577
12,4,644,721
12,5,821,850
1,1,437,442
1,2,479,555
1,3,577,651
1,4,721,820
1,5,850,876
7,1,442,511
7,2,555,587
7,3,651,750
7,4,820,846
7,5,876,933
11,1,511,536
11,2,587,646
11,3,750,838
11,4,846,933
11,5,933,973
16,1,536,606
16,2,646,722
16,3,838,891
16,4,933,935
16,5,973,992
18,1,606,640
18,2,722,821
18,3,891,940
18,4,940,943
18,5,992,1053
3,1,640,707
3,2,821,869
3,3,940,946
3,4,946,1012
3,5,1053,1091
4,1,707,804
4,2,869,905
4,3,946,1017
4,4,1017,1085
4,5,1091,1172
8,1,804,873
8,2,905,917
8,3,1017,1071
8,4,1085,1165
8,5,1172,1188
5,1,873,960
5,2,960,1046
5,3,1071,1135
5,4,1165,1176
5,5,1188,1219
19,1,960,997
19,2,1046,1070
19,3,1135,1167
19,4,1176,1211
19,5,1219,1223
10,1,997,1084
10,2,1084,1136
10,3,1167,1210
10,4,1211,1221
10,5,1223,1249
