ejecucion,semilla,makespan,tiempo_ms,secuencia
1,42,8047,2.96,"[J4, J2, J1, J5, J9, J6, J10, J3, J8, J7]"
2,43,7835,3.09,"[J4, J1, J5, J2, J6, J10, J3, J7, J9, J8]"
3,44,7821,2.93,"[J5, J6, J2, J1, J10, J4, J3, J7, J9, J8]"
4,45,7821,5.31,"[J4, J5, J1, J10, J6, J3, J2, J7, J9, J8]"
5,46,7821,3.21,"[J5, J3, J4, J1, J6, J10, J2, J7, J9, J8]"
6,47,7738,3.00,"[J6, J2, J4, J1, J3, J8, J10, J9, J7, J5]"
7,48,7821,2.85,"[J4, J5, J1, J6, J10, J3, J2, J7, J9, J8]"
8,49,7825,2.97,"[J1, J10, J2, J6, J4, J3, J7, J9, J5, J8]"
9,50,7862,3.03,"[J3, J1, J6, J4, J10, J9, J2, J5, J7, J8]"
10,51,7720,2.85,"[J5, J2, J4, J1, J3, J8, J6, J10, J9, J7]"
