ejecucion,semilla,makespan,tiempo_ms,secuencia
1,42,52,3.92,"[J2, J4, J5, J3, J1]"
2,43,52,3.80,"[J2, J4, J5, J1, J3]"
3,44,52,3.96,"[J2, J4, J5, J1, J3]"
4,45,52,4.32,"[J2, J4, J5, J3, J1]"
5,46,52,3.99,"[J2, J4, J5, J3, J1]"
6,47,52,4.18,"[J5, J2, J4, J1, J3]"
7,48,52,4.04,"[J5, J2, J4, J3, J1]"
8,49,52,4.07,"[J2, J4, J5, J3, J1]"
9,50,52,4.47,"[J2, J4, J5, J1, J3]"
10,51,52,4.02,"[J2, J4, J5, J3, J1]"
11,52,52,4.07,"[J2, J4, J5, J1, J3]"
12,53,52,3.79,"[J5, J1, J2, J4, J3]"
13,54,52,4.23,"[J5, J2, J4, J1, J3]"
14,55,52,3.95,"[J5, J2, J4, J1, J3]"
15,56,52,3.91,"[J5, J2, J4, J3, J1]"
16,57,52,3.96,"[J5, J2, J4, J3, J1]"
17,58,52,4.26,"[J5, J2, J1, J4, J3]"
18,59,52,3.82,"[J5, J2, J1, J4, J3]"
19,60,52,3.81,"[J5, J2, J4, J3, J1]"
20,61,52,3.81,"[J5, J1, J4, J3, J2]"
21,62,52,4.40,"[J2, J4, J5, J1, J3]"
22,63,52,4.17,"[J5, J2, J1, J4, J3]"
23,64,52,4.24,"[J5, J2, J4, J1, J3]"
24,65,52,4.37,"[J5, J2, J1, J4, J3]"
25,66,52,3.98,"[J5, J2, J1, J4, J3]"
26,67,52,9.60,"[J2, J4, J5, J1, J3]"
27,68,52,7.53,"[J5, J2, J4, J3, J1]"
28,69,52,5.05,"[J5, J2, J1, J4, J3]"
29,70,52,4.43,"[J5, J1, J4, J3, J2]"
30,71,52,7.79,"[J2, J4, J5, J3, J1]"
