ejecucion,semilla,makespan,tiempo_ms,secuencia
1,42,7835,3.21,"[J4, J1, J2, J3, J7, J10, J5, J6, J9, J8]"
2,43,7821,3.56,"[J5, J6, J4, J3, J1, J10, J2, J7, J9, J8]"
3,44,7738,3.01,"[J6, J2, J4, J1, J3, J8, J10, J9, J7, J5]"
4,45,7821,3.16,"[J5, J6, J4, J3, J1, J7, J10, J2, J9, J8]"
5,46,7821,4.56,"[J5, J3, J4, J1, J10, J2, J6, J7, J9, J8]"
6,47,8076,3.53,"[J1, J3, J6, J2, J4, J10, J9, J8, J7, J5]"
7,48,7821,3.29,"[J5, J3, J4, J1, J6, J9, J7, J10, J2, J8]"
8,49,7720,4.36,"[J5, J4, J2, J1, J3, J8, J6, J10, J9, J7]"
9,50,7767,3.08,"[J3, J4, J5, J1, J10, J2, J8, J6, J9, J7]"
10,51,7767,3.32,"[J4, J5, J3, J1, J10, J2, J8, J6, J9, J7]"
